AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,AP12,AP13,AP14,AP15,AP16,AP17,AP18,AP19,AP20,AP21,AP22,AP23,AP24,AP25,AP26,AP27,AP28,AP29,AP30,AP31,AP32,AP33,AP34,AP35,AP36,AP37,AP38,AP39,AP40,AP41,AP42,AP43,AP44,AP45,AP46,AP47,AP48,AP49,Room
-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,0,0,0,0,0,0,0,0,-83,-80,-58,-54,-62,-68,-52,-75,0,0,0,0,0,0,0,0,0,5221
-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-80,-63,-56,-67,-67,-58,-74,-80,0,0,0,0,0,0,0,0,5221
-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,-84,-61,-55,-60,-67,-44,-74,0,0,0,0,0,0,0,0,0,5231
-82,0,0,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,0,0,0,0,0,0,0,0,0,-83,-74,-65,-47,-58,-71,-53,0,0,0,0,0,0,0,0,0,0,5231
-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,0,0,0,-81,-77,-68,-64,-64,-70,-61,-77,0,0,0,0,0,0,0,0,0,5231
-84,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,0,-80,-72,-63,-57,-57,-60,0,0,0,-90,0,0,0,0,0,0,5231
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,0,0,-81,0,-84,-76,-70,-58,-60,-61,-69,0,0,0,0,0,0,0,0,0,5231
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,-81,-90,-86,-76,-59,-56,-58,-62,-68,0,0,0,0,0,0,0,0,0,5241
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,-75,-62,-55,-58,-67,-70,-66,0,-89,0,0,0,0,0,0,5241
-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,-86,-79,-77,-70,-61,-62,-72,-64,-74,0,0,0,-89,0,0,0,0,5241
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,-78,-70,-62,-54,-71,-59,0,0,-89,0,0,0,0,0,0,5241
-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,-85,-83,-73,-57,-63,-81,-64,0,0,-82,0,-86,0,0,0,0,5251
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,-81,-75,-64,-70,-76,-58,-49,0,-83,0,-89,0,0,0,0,5251
-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,-88,-79,-74,-65,0,-71,-45,-52,0,-83,0,-89,0,0,0,0,5251
-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,-81,-73,-64,0,-74,-48,0,0,-81,0,-86,0,0,0,0,5251
-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,-71,-64,-67,-74,-59,-59,0,-84,0,-89,0,0,0,0,533
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,-70,-64,0,-70,-56,0,0,-81,0,-90,0,0,0,0,533
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,-77,-68,0,-73,-52,-56,0,-77,0,-87,0,0,0,0,533
-60,0,-89,-81,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,0,0,0,0,0,-75,0,0,-62,-58,-62,-78,-80,-85,0,0,0,0,0,0,0,0,-89,0,-64,0,5201
-65,0,-89,-81,0,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,-69,-53,-49,-56,-74,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,5191
-62,0,-89,0,0,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,0,-74,0,-77,0,-57,-63,-77,-79,-84,0,-85,-90,0,0,0,0,0,0,0,0,0,5191
-69,0,-90,0,0,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,-77,0,-74,-57,-58,-67,-77,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,5191
-71,0,0,-82,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,-61,0,-73,-77,-86,0,0,0,0,0,0,0,0,0,0,0,0,5191
-73,0,0,-81,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,-70,-57,-54,-67,-72,-82,0,0,0,-86,0,0,0,0,0,0,0,0,0,5191
-74,0,0,-84,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,0,-84,0,-76,0,0,-55,-56,-65,-77,-79,-87,0,0,0,0,0,0,0,0,0,0,0,0,5191
-84,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,0,0,0,-87,0,-63,0,-61,-63,-55,-69,-80,-86,-89,0,0,0,0,0,0,0,0,0,0,0,0,5191
-88,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,0,0,-85,0,-71,0,0,-68,-62,-79,-89,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,5191
-84,0,0,-88,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,0,-84,-79,-61,-77,0,0,-62,-79,-86,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,5181
-78,0,0,-89,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,0,-65,0,0,-75,-63,-75,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5181
